/maps/ivory-coast.mapgr
2537;21321
137690;108677
45068;113476
9039;128036
74342;24150
106376;97879
103014;135057
65123;116300
59438;108175
29289;112460
88422;53380
100077;56035
29704;10145
37336;3565
45182;48377
136335;44410
17101;20641
86255;15646
72485;77023
37248;509
80327;44762
137495;109925
106282;18161
93505;13164
19537;126852
50648;39384
10557;95097
102367;92201
29543;115593
74630;14731
97193;20666
80533;60312
135074;12309
124600;59765
4741;103850
93011;60531
93577;80548
136754;8043
11050;2364
101996;102558
68928;50091
7877;99472
86272;111547
47443;137085
94910;93345
46631;113152
69582;9664
131927;93136
52511;138689
85387;95838
