/maps/ivory-coast.mapgr
10635;2949
125989;130147
69035;56182
78822;66496
19414;45241
136559;66810
89628;75203
102865;111739
108223;13497
108386;43447
110466;73181
120970;75058
99404;14361
9339;44951
46946;23233
3830;42240
104186;110844
84823;32316
42083;31025
117423;39119
12408;40218
120156;115630
89400;9791
41064;14517
84608;1384
89151;25082
127479;80781
124715;138969
108675;119123
93473;66790
115736;41027
87282;10471
135672;40539
93995;76372
72553;81599
103202;49820
83996;137430
135038;81872
107379;32700
27053;51268
123294;62205
10363;66440
102175;26644
35960;76703
81576;110009
25726;99061
1579;73103
19156;44834
6885;124516
