/maps/ivory-coast.mapgr
13247;126614
134895;20046
34634;126451
105255;109629
90195;100839
107121;49666
29115;41123
65013;34645
101472;20234
134775;81296
99893;90896
128256;91003
3242;65808
43960;59077
26446;69034
17910;27120
98257;20458
43016;37184
52397;55797
19272;63962
49366;129002
115490;122168
134538;130989
127093;20411
84961;84258
98184;135619
11505;14383
43691;103727
24404;90973
108393;32015
33206;132564
85291;49301
83855;98785
95030;113149
104552;78145
4904;106693
54495;101434
29442;44802
24846;3468
78480;116147
6748;60689
116165;108776
32537;21714
19731;70518
127075;69639
31718;45316
112899;44831
107551;127845
100831;18368
97801;103135
112894;121727
