/maps/ivory-coast.mapgr
10128;51710
83881;48184
120142;114308
85935;49967
138531;70290
45841;54563
69244;7472
77653;106229
107098;104478
9028;10924
55204;64564
115927;138326
23736;25004
120147;102075
17453;70790
138786;17804
64318;24545
31184;90469
74804;57114
62993;129349
85198;76177
108383;65648
122051;102404
115286;66346
46258;78229
119630;127787
113707;119972
55659;29554
3164;46229
128236;98953
48655;20764
119428;5501
56385;8030
819;32180
61824;87406
139331;9436
55232;124497
3174;24955
19774;7316
60386;67157
7031;101012
57790;28606
18884;62318
111754;116870
24570;91277
14341;9727
111510;25950
60056;77333
6461;114016
25217;120241
35434;8836
78300;1008
2863;3948
46580;32431
12641;40355
